Any,Nom_Districte,Nom_Barri,Sexe,Emmigrants,Immigrants
2017,Horta-Guinardó,el Baix Guinardó,Homes,371,620
2017,Horta-Guinardó,Can Baró,Homes,135,240
2017,Horta-Guinardó,el Guinardó,Homes,524,874
2017,Horta-Guinardó,la Font d'en Fargues,Homes,97,121
2017,Horta-Guinardó,el Carmel,Homes,461,671
2017,Horta-Guinardó,la Teixonera,Homes,186,246
2017,Horta-Guinardó,Sant Genís dels Agudells,Homes,98,213
2017,Horta-Guinardó,Montbau,Homes,87,129
2017,Horta-Guinardó,la Vall d'Hebron,Homes,61,92
2017,Horta-Guinardó,la Clota,Homes,6,18
2017,Horta-Guinardó,Horta,Homes,329,521
2017,Nou Barris,Vilapicina i la Torre Llobeta,Homes,336,509
2017,Nou Barris,Porta,Homes,369,647
2017,Nou Barris,el Turó de la Peira,Homes,221,409
2017,Nou Barris,Can Peguera,Homes,27,26
2017,Nou Barris,la Guineueta,Homes,156,218
2017,Nou Barris,Canyelles,Homes,60,62
2017,Nou Barris,les Roquetes,Homes,253,413
2017,Nou Barris,Verdun,Homes,203,305
2017,Nou Barris,la Prosperitat,Homes,342,571
2017,Nou Barris,la Trinitat Nova,Homes,156,221
2017,Nou Barris,Torre Baró,Homes,44,53
2017,Nou Barris,Ciutat Meridiana,Homes,230,409
2017,Nou Barris,Vallbona,Homes,28,31
2017,Sant Andreu,la Trinitat Vella,Homes,237,368
2017,Sant Andreu,Baró de Viver,Homes,43,47
2017,Sant Andreu,el Bon Pastor,Homes,215,307
2017,Sant Andreu,Sant Andreu,Homes,667,939
2017,Sant Andreu,la Sagrera,Homes,372,643
2017,Sant Andreu,el Congrés i els Indians,Homes,191,297
2017,Sant Andreu,Navas,Homes,300,501
2017,Sant Martí,el Camp de l'Arpa del Clot,Homes,595,1075
2017,Sant Martí,el Clot,Homes,373,651
2017,Sant Martí,el Parc i la Llacuna del Poblenou,Homes,210,490
2017,Sant Martí,la Vila Olímpica del Poblenou,Homes,140,190
2017,Sant Martí,el Poblenou,Homes,513,874
2017,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Homes,263,379
2017,Sant Martí,el Besòs i el Maresme,Homes,519,1146
2017,Sant Martí,Provençals del Poblenou,Homes,311,469
2017,Sant Martí,Sant Martí de Provençals,Homes,357,536
2017,Sant Martí,la Verneda i la Pau,Homes,389,602
2017,Ciutat Vella,el Raval,Dones,910,2337
2017,Ciutat Vella,el Barri Gòtic,Dones,353,1188
2017,Ciutat Vella,la Barceloneta,Dones,353,849
2017,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Dones,528,1327
2017,Eixample,el Fort Pienc,Dones,586,1155
2017,Eixample,la Sagrada Família,Dones,890,1898
2017,Eixample,la Dreta de l'Eixample,Dones,803,1657
2017,Eixample,l'Antiga Esquerra de l'Eixample,Dones,672,1774
2017,Eixample,la Nova Esquerra de l'Eixample,Dones,1034,2135
2017,Eixample,Sant Antoni,Dones,682,1237
2017,Sants-Montjuïc,el Poble-sec,Dones,790,1492
2017,Sants-Montjuïc,la Marina del Prat Vermell,Dones,20,15
2017,Sants-Montjuïc,la Marina de Port,Dones,511,775
2017,Sants-Montjuïc,la Font de la Guatlla,Dones,200,295
2017,Sants-Montjuïc,Hostafrancs,Dones,330,575
2017,Sants-Montjuïc,la Bordeta,Dones,353,474
2017,Sants-Montjuïc,Sants - Badal,Dones,539,773
2017,Sants-Montjuïc,Sants,Dones,863,1432
2017,Les Corts,les Corts,Dones,728,1222
2017,Les Corts,la Maternitat i Sant Ramon,Dones,484,727
2017,Les Corts,Pedralbes,Dones,192,397
2017,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Dones,76,98
2017,Sarrià-Sant Gervasi,Sarrià,Dones,379,602
2017,Sarrià-Sant Gervasi,les Tres Torres,Dones,222,365
